pmid,doi,label,qualifier
28095459,10.1371/journal.pmed.1002215,Bioinformatics Compute and Storage,Service
28146470,10.1038/nature21039,Bioinformatics Compute and Storage,Service
,10.1186/s13045-017-0515-y,Bioinformatics Compute and Storage,Service
28780361,10.1016/j.watres.2017.07.060,Bioinformatics Compute and Storage,Service
28341696,10.2337/db16-1329,Bioinformatics Compute and Storage,Service
,10.1002/evl3.15,Bioinformatics Compute and Storage,Service
28942743,10.1017/S0033291717002665,Bioinformatics Compute and Storage,Service
29079597,10.3324/haematol.2017.176719,Bioinformatics Compute and Storage,Service
28028880,10.1111/1462-2920.13650,Bioinformatics Compute and Storage,Service
28715506,10.1371/journal.pone.0181192,Bioinformatics Compute and Storage,Service
27839851,10.1016/j.envint.2016.11.010,Bioinformatics Compute and Storage,Service
29069469,10.1093/nar/gkx940,Bioinformatics Compute and Storage,Service
27521279,10.1016/j.jaci.2016.06.040,Bioinformatics Compute and Storage,Service
,10.1016/j.ecss.2016.06.016,Bioinformatics Compute and Storage,Service
28716088,10.1186/s12885-017-3472-5,Bioinformatics Compute and Storage,Service
28714469,10.1038/ncomms16021,Bioinformatics Compute and Storage,Service
,10.1073/pnas.1617728114,Bioinformatics Compute and Storage,Service
28346815,10.1371/journal.pone.0174614,Bioinformatics Compute and Storage,Service
,10.1016/j.jtho.2016.11.647,Bioinformatics Compute and Storage,Service
28748388,10.1007/s00198-017-4150-9,Bioinformatics Compute and Storage,Service
28777485,10.1002/jbmr.3233,Bioinformatics Compute and Storage,Service
,10.1111/ele.12862,Bioinformatics Compute and Storage,Service
,10.1038/ismej.2016.184,Bioinformatics Compute and Storage,Service
,10.1038/ejhg.2017.54,Bioinformatics Compute and Storage,Service
28725665,10.1016/j.dib.2017.06.031,Bioinformatics Compute and Storage,Service
28388445,10.1016/j.molimm.2017.03.012,Bioinformatics Compute and Storage,Service
28634240,10.1128/mBio.00857-17,Bioinformatics Compute and Storage,Service
28450237,10.1016/j.xphs.2017.04.018,Bioinformatics Compute and Storage,Service
,10.1534/genetics.116.198861,Bioinformatics Compute and Storage,Service
27997700,10.1111/nyas.13295,Bioinformatics Compute and Storage,Service
29062876,10.1016/j.dib.2017.09.043,Bioinformatics Compute and Storage,Service
28923509,10.1016/j.virusres.2017.09.012,Bioinformatics Compute and Storage,Service
27771467,10.1016/j.fsigen.2016.10.008,Bioinformatics Compute and Storage,Service
27913414,10.1128/AEM.02533-16,Bioinformatics Compute and Storage,Service
27899403,10.1161/CIRCRESAHA.116.308765,Bioinformatics Compute and Storage,Service
28186632,10.1111/nph.14458,Bioinformatics Compute and Storage,Service
28385844,10.1128/genomeA.00125-17,Bioinformatics Compute and Storage,Service
28391318,10.1093/gbe/evx029,Bioinformatics Compute and Storage,Service
,10.1016/j.aquaculture.2017.03.024,Bioinformatics Compute and Storage,Service
28928718,10.3389/fmicb.2017.01561,Bioinformatics Compute and Storage,Service
29070809,10.1038/s41467-017-00999-2,Bioinformatics Compute and Storage,Service
26713841,10.3109/19401736.2015.1122768,Bioinformatics Compute and Storage,Service
28837655,10.1371/journal.pgen.1006976,Bioinformatics Compute and Storage,Service
28098162,10.1038/ncomms13624,Bioinformatics Compute and Storage,Service
28723901,10.1371/journal.pntd.0005710,Bioinformatics Compute and Storage,Service
28213390,10.1161/CIRCGENETICS.116.001487,Bioinformatics Compute and Storage,Service
28884802,10.1002/ajpa.23308,Bioinformatics Compute and Storage,Service
,10.1101/gr.212522.116,Bioinformatics Compute and Storage,Service
28855268,10.1530/EJE-17-0277,Bioinformatics Compute and Storage,Service
27913302,10.1016/j.jaci.2016.09.050,Bioinformatics Compute and Storage,Service
,10.1071/rdv29n1ab124,Bioinformatics Compute and Storage,Service
28053322,10.1038/gene.2016.49,Bioinformatics Compute and Storage,Service
,10.1093/hmg/ddx017,Bioinformatics Compute and Storage,Service
28084650,10.1002/jbmr.3083,Bioinformatics Compute and Storage,Service
28073764,10.1093/aje/kww120,Bioinformatics Compute and Storage,Service
28481330,10.1038/nplants.2017.61,Bioinformatics Compute and Storage,Service
28369058,10.1371/journal.pgen.1006706,Bioinformatics Compute and Storage,Service
27815194,10.1016/j.ymben.2016.10.010,Bioinformatics Compute and Storage,Service
28284638,10.1016/j.scitotenv.2017.01.213,Bioinformatics Compute and Storage,Service
,10.7554/elife.23907,Bioinformatics Compute and Storage,Service
28957460,10.1093/gbe/evx169,Bioinformatics Compute and Storage,Service
,10.1038/gt.2016.80,Bioinformatics Compute and Storage,Service
,10.1158/1078-0432.ccr-17-0285,Bioinformatics Compute and Storage,Service
27838757,10.1007/s00204-016-1879-4,Bioinformatics Compute and Storage,Service
28535255,10.1093/hmg/ddx194,Bioinformatics Compute and Storage,Service
28322575,10.2217/epi-2016-0158,Bioinformatics Compute and Storage,Service
28781756,10.12688/f1000research.11168.2,Bioinformatics Compute and Storage,Service
28839234,10.1038/s41598-017-10175-7,Bioinformatics Compute and Storage,Service
28739902,10.1073/pnas.1706011114,Bioinformatics Compute and Storage,Service
,10.1098/rspb.2016.2756,Bioinformatics Compute and Storage,Service
28634180,10.1530/ERC-17-0196,Bioinformatics Compute and Storage,Service
28261182,10.3389/fmicb.2017.00226,Bioinformatics Compute and Storage,Service
27886618,10.1016/j.ijcard.2016.11.066,Bioinformatics Compute and Storage,Service
,10.1093/femsle/fnx139,Bioinformatics Compute and Storage,Service
27871136,10.1111/1462-2920.13593,Bioinformatics Compute and Storage,Service
28094813,10.1038/tp.2016.275,Bioinformatics Compute and Storage,Service
27943270,10.1111/cge.12890,Bioinformatics Compute and Storage,Service
27918534,10.1038/ng.3738,Bioinformatics Compute and Storage,Service
28481333,10.1038/nmicrobiol.2017.68,Bioinformatics Compute and Storage,Service
27871145,10.1111/1462-2920.13592,Bioinformatics Compute and Storage,Service
28860667,10.1038/s41598-017-10928-4,Bioinformatics Compute and Storage,Service
28793929,10.1186/s40168-017-0311-5,Bioinformatics Compute and Storage,Service
28978732,10.1098/rspb.2017.1617,Bioinformatics Compute and Storage,Service
28577026,10.1007/s10532-017-9796-7,Bioinformatics Compute and Storage,Service
27848077,10.1007/s00439-016-1743-x,Bioinformatics Compute and Storage,Service
,10.1186/s13059-017-1231-1,Bioinformatics Compute and Storage,Service
28207771,10.1371/journal.pone.0171566,Bioinformatics Compute and Storage,Service
27485664,10.1111/nmo.12923,Bioinformatics Compute and Storage,Service
28295209,10.1111/cge.13012,Bioinformatics Compute and Storage,Service
28465822,10.1186/s13293-017-0134-x,Bioinformatics Compute and Storage,Service
,10.1128/genomea.00172-17,Bioinformatics Compute and Storage,Service
,10.1186/s40694-017-0032-3,Bioinformatics Compute and Storage,Service
27786413,10.1002/pbc.26251,Bioinformatics Compute and Storage,Service
27901589,10.1210/en.2016-1758,Bioinformatics Compute and Storage,Service
